epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,579.932,1.0285,0.99768,1.58568,0.74367,0.7193,0.74963,0.4384,1.455,1.30889,1.98467,0.000548108,0.000548108,0.000548108
70,588.28,1.02002,0.96563,1.58552,0.77738,0.68508,0.74519,0.44408,1.42303,1.28143,1.9591,0.000531654,0.000531654,0.000531654
71,596.677,1.03389,0.97235,1.5716,0.77201,0.67021,0.74333,0.4285,1.47135,1.30156,2.00375,0.0005152,0.0005152,0.0005152
72,605.08,1.01342,0.95684,1.56612,0.82003,0.67546,0.75856,0.44571,1.44034,1.27776,1.96727,0.000498745,0.000498745,0.000498745
73,613.53,1.00695,0.95184,1.56208,0.80358,0.6993,0.75835,0.44702,1.43099,1.27245,1.94984,0.000482291,0.000482291,0.000482291
74,621.854,1.02813,0.98384,1.56737,0.80422,0.66685,0.7512,0.44106,1.46819,1.28717,1.98013,0.000465837,0.000465837,0.000465837
75,630.173,1.01686,0.92104,1.56651,0.78777,0.66825,0.73763,0.433,1.46066,1.34137,1.9751,0.000449383,0.000449383,0.000449383
76,638.479,1.00392,0.9243,1.54664,0.72415,0.68857,0.72882,0.43138,1.45044,1.32443,1.96097,0.000432928,0.000432928,0.000432928
77,646.856,0.99385,0.91568,1.53907,0.78623,0.65245,0.74157,0.43396,1.43435,1.33493,1.96761,0.000416474,0.000416474,0.000416474
78,655.133,0.98945,0.90033,1.55568,0.77547,0.66769,0.74137,0.43164,1.47725,1.29119,2.00707,0.00040002,0.00040002,0.00040002
79,663.375,0.98358,0.88007,1.53215,0.81755,0.65261,0.74384,0.43674,1.46437,1.28693,2.00914,0.000383565,0.000383565,0.000383565
80,671.669,0.98351,0.89572,1.53073,0.82484,0.68143,0.75547,0.4331,1.45436,1.25041,1.98139,0.000367111,0.000367111,0.000367111
